# .test .cputime .temperature .time_mat1 .time_mat2
203 0.236773  4.870 0.001305 0.001628
204 0.253011  5.357 0.001280 0.001645
205 0.236157  5.357 0.001368 0.001662
206 0.238186  3.896 0.001305 0.001953
207 0.239655  4.383 0.001378 0.001661
208 0.240220  5.357 0.001369 0.001702
209 0.240485  4.870 0.001415 0.001712
210 0.244225  5.357 0.001487 0.001747
211 0.243724  4.383 0.001436 0.001748
212 0.246986  5.357 0.001435 0.001826
213 0.242848  3.896 0.001460 0.001770
214 0.245242  4.870 0.001490 0.001809
215 0.261175  4.383 0.001605 0.002425
216 0.254434  4.383 0.001541 0.001914
217 0.247556  4.383 0.001604 0.001849
218 0.250668  4.870 0.001518 0.001892
219 0.254207  4.870 0.001632 0.002464
220 0.252864  4.870 0.001535 0.001940
221 0.254705  5.844 0.001599 0.001923
222 0.255953  4.870 0.001605 0.002291
223 0.255626  4.870 0.001617 0.001970
224 0.276123  5.844 0.001648 0.002001
225 0.256173  5.357 0.001623 0.002012
226 0.258313  3.896 0.001681 0.002050
227 0.259528  5.357 0.001609 0.002159
228 0.264180  4.383 0.001634 0.002130
229 0.260525  5.357 0.001696 0.002112
230 0.264451  5.844 0.001667 0.002229
231 0.263001  5.357 0.001751 0.002136
232 0.263388  5.357 0.001739 0.002176
233 0.263995  5.844 0.001747 0.002185
234 0.282460  5.357 0.001767 0.002428
235 0.268008  6.331 0.001911 0.002283
236 0.268333  5.357 0.001812 0.002282
237 0.270024  6.331 0.001833 0.003106
238 0.274578  5.357 0.001889 0.002421
239 0.275838  6.331 0.001878 0.002427
240 0.272714  4.870 0.001900 0.002433
241 0.270879  6.331 0.001837 0.002405
242 0.273375  5.357 0.002011 0.002396
243 0.275124  5.357 0.001977 0.002455
244 0.276238  5.844 0.001962 0.002455
245 0.277192  4.870 0.001935 0.002481
246 0.276859  4.383 0.002032 0.002488
247 0.278550  4.870 0.001971 0.002576
248 0.280612  6.331 0.002062 0.002542
249 0.282446  5.357 0.002080 0.002872
250 0.282467  5.357 0.002068 0.002807
251 0.283723  5.844 0.002035 0.002707
252 0.295950  5.844 0.002129 0.002787
253 0.285345  5.357 0.002069 0.002783
254 0.281815  5.844 0.002180 0.002889
255 0.297558  5.357 0.002102 0.002784
256 0.289267  6.331 0.002206 0.002752
257 0.298988  4.870 0.002203 0.002777
258 0.296635  5.357 0.002200 0.002841
259 0.291475  5.357 0.002171 0.002974
260 0.295193  5.844 0.002339 0.002873
